num_date_time,answer
1_20220825 00,1681.0462286441161
1_20220825 01,1298.0841166558687
1_20220825 02,1283.4813836236399
1_20220825 03,1321.5304509029081
1_20220825 04,1258.685544273159
1_20220825 05,1323.2527289271923
1_20220825 06,1326.2330397481994
1_20220825 07,1280.0526107036135
1_20220825 08,1367.1737487405585
1_20220825 09,1622.084727662534
1_20220825 10,1351.9322129625389
1_20220825 11,1534.1073587367557
1_20220825 12,1333.1658856529416
1_20220825 13,1514.381695675651
1_20220825 14,1547.2874631748596
1_20220825 15,1744.0560127862673
1_20220825 16,1759.7001676118102
1_20220825 17,1574.1073374518135
1_20220825 18,1420.3800309698465
1_20220825 19,1356.950032922943
1_20220825 20,1448.388014904267
1_20220825 21,1412.4505551473335
1_20220825 22,1239.6085961419415
1_20220825 23,1308.0208486878182
1_20220826 00,1283.801605979957
1_20220826 01,1313.9368783738853
1_20220826 02,1432.6193931288128
1_20220826 03,1234.1790396287095
1_20220826 04,1278.9912926838358
1_20220826 05,1105.8854514667194
1_20220826 06,1114.9357096222616
1_20220826 07,1322.395091983623
1_20220826 08,1331.4099108977393
1_20220826 09,1268.9552462680529
1_20220826 10,1481.1037307618767
1_20220826 11,1374.262063837031
1_20220826 12,1929.7775737480308
1_20220826 13,1847.4971286775526
1_20220826 14,2011.4815424464848
1_20220826 15,2052.719183661632
1_20220826 16,2131.4300704148263
1_20220826 17,1927.1212830474253
1_20220826 18,1985.367170669237
1_20220826 19,1740.0202958422992
1_20220826 20,1736.4179804263497
1_20220826 21,1506.1031186302403
1_20220826 22,1811.2972077166853
1_20220826 23,1535.6460830181188
1_20220827 00,1456.5243847565448
1_20220827 01,1606.158090229878
1_20220827 02,1414.7785633169974
1_20220827 03,1357.8128903093952
1_20220827 04,1382.2428608810276
1_20220827 05,1093.1712442627133
1_20220827 06,979.6131969524713
1_20220827 07,1107.9285573425175
1_20220827 08,1070.3398461001261
1_20220827 09,1420.3167807373447
1_20220827 10,1790.0005193229356
1_20220827 11,1977.8842978602163
1_20220827 12,2165.3239735878733
1_20220827 13,2133.5093944528508
1_20220827 14,2056.6931771695185
1_20220827 15,2023.7427413048676
1_20220827 16,2203.222588986826
1_20220827 17,2021.4146996920663
1_20220827 18,1916.5246177165343
1_20220827 19,2052.8331453446185
1_20220827 20,1716.5972036572489
1_20220827 21,1596.19292270482
1_20220827 22,1765.2084608939438
1_20220827 23,1405.1632062738802
1_20220828 00,1489.064081248637
1_20220828 01,1215.2235567858118
1_20220828 02,999.8974613151757
1_20220828 03,1145.0110990399335
1_20220828 04,1103.587894907845
1_20220828 05,1089.4521474407795
1_20220828 06,1090.3681105524258
1_20220828 07,1063.304339867069
1_20220828 08,1128.7552742046291
1_20220828 09,1668.6564822990174
1_20220828 10,1804.3039311246268
1_20220828 11,2029.386639650687
1_20220828 12,2024.7666119245991
1_20220828 13,2120.1814724631695
1_20220828 14,2224.5751711143803
1_20220828 15,2131.65732621192
1_20220828 16,2267.192237369773
1_20220828 17,2280.2620774691245
1_20220828 18,2116.630090935848
1_20220828 19,1752.2188318192968
1_20220828 20,1829.1545549409893
1_20220828 21,1627.4586622243503
1_20220828 22,1595.285934613535
1_20220828 23,1726.7082736594969
1_20220829 00,1951.9938614631676
1_20220829 01,1886.7436966996227
1_20220829 02,2012.533137725253
1_20220829 03,1876.3179788377101
1_20220829 04,1772.4702566062977
1_20220829 05,1533.3654516264558
1_20220829 06,1375.9010987592585
1_20220829 07,1311.8440827604231
1_20220829 08,1172.6525938764926
1_20220829 09,1331.000508544609
1_20220829 10,1232.4017556527222
1_20220829 11,1424.7203359575076
1_20220829 12,1614.950065677999
1_20220829 13,1344.5636650726638
1_20220829 14,1574.9759655847681
1_20220829 15,1534.954209544965
1_20220829 16,1772.981552304339
1_20220829 17,1689.7412048710464
1_20220829 18,1848.1503395779177
1_20220829 19,1487.653110564292
1_20220829 20,1541.593927156478
1_20220829 21,1549.242289474202
1_20220829 22,1541.626309004651
1_20220829 23,1524.37627239016
1_20220830 00,1382.8554700046661
1_20220830 01,1370.0616843279302
1_20220830 02,1235.9145538397458
1_20220830 03,1130.768312142564
1_20220830 04,1181.596409364431
1_20220830 05,1354.723440732917
1_20220830 06,1504.7151250408588
1_20220830 07,1451.7614159631248
1_20220830 08,1408.6487690247861
1_20220830 09,1264.5664261797244
1_20220830 10,1256.0557679007563
1_20220830 11,1389.2234035993592
1_20220830 12,1188.4999335460577
1_20220830 13,1405.8550953909341
1_20220830 14,1363.9039525959356
1_20220830 15,1448.8510589410078
1_20220830 16,1412.802985595077
1_20220830 17,1484.9573631138483
1_20220830 18,1208.3864684058206
1_20220830 19,1356.595552597103
1_20220830 20,1547.1645309490848
1_20220830 21,1311.7119219673607
1_20220830 22,1245.3768212833336
1_20220830 23,1281.412952782472
1_20220831 00,1281.412952782472
1_20220831 01,1328.7948476310078
1_20220831 02,1280.712811908861
1_20220831 03,1159.145641245229
1_20220831 04,1159.1697993879188
1_20220831 05,1162.5965665403344
1_20220831 06,1272.7916895383603
1_20220831 07,1132.1818543150748
1_20220831 08,1347.4309344351675
1_20220831 09,1349.7580133182648
1_20220831 10,1348.0233668736137
1_20220831 11,1705.471068643469
1_20220831 12,1672.3426514702464
1_20220831 13,1584.0179294739783
1_20220831 14,1649.5395799876073
1_20220831 15,1576.8668250634507
1_20220831 16,1384.568076258474
1_20220831 17,1597.6549744923977
1_20220831 18,1790.243039347213
1_20220831 19,1375.063143337263
1_20220831 20,1330.9304835135958
1_20220831 21,1311.159074623564
1_20220831 22,1121.722824788536
1_20220831 23,1105.9848588397267
2_20220825 00,1380.2666492918668
2_20220825 01,1237.1134181394566
2_20220825 02,1245.5683107944785
2_20220825 03,1283.5287776112566
2_20220825 04,1266.6058707192556
2_20220825 05,1250.9735156316972
2_20220825 06,1129.1133032579355
2_20220825 07,1219.6448245096453
2_20220825 08,1151.5555531909204
2_20220825 09,1345.060360997029
2_20220825 10,1337.7668599380363
2_20220825 11,1375.926232364644
2_20220825 12,1355.3269123031278
2_20220825 13,1195.9431585188859
2_20220825 14,1313.0549019466919
2_20220825 15,1412.4839114164038
2_20220825 16,1488.5366585053803
2_20220825 17,1285.6003834999908
2_20220825 18,1475.379415821711
2_20220825 19,1258.3835154799924
2_20220825 20,1199.8154320847516
2_20220825 21,1156.1966995947143
2_20220825 22,1194.6478604754643
2_20220825 23,1240.252316067815
2_20220826 00,1210.2022166739719
2_20220826 01,1089.0347121547327
2_20220826 02,1155.3799918324164
2_20220826 03,1101.6720901550646
2_20220826 04,1159.827912801568
2_20220826 05,1047.5180400797417
2_20220826 06,1017.4431436602534
2_20220826 07,1207.0315572387804
2_20220826 08,1195.5503933286036
2_20220826 09,1282.8744931717947
2_20220826 10,1466.5116501709815
2_20220826 11,1348.7294708672143
2_20220826 12,1609.214727738828
2_20220826 13,1517.3047826399559
2_20220826 14,1725.080758518074
2_20220826 15,1748.8477869913208
2_20220826 16,1665.2899560121446
2_20220826 17,1728.3612872298247
2_20220826 18,1849.1804040897903
2_20220826 19,1432.8656840739543
2_20220826 20,1692.1969394582425
2_20220826 21,1289.5317428789172
2_20220826 22,1531.2017212637284
2_20220826 23,1286.530310175922
2_20220827 00,1210.3371945897952
2_20220827 01,1389.4195668119523
2_20220827 02,1244.0161762507553
2_20220827 03,1048.2664035325402
2_20220827 04,1174.1401987001686
2_20220827 05,1124.5440560289253
2_20220827 06,962.3433495702452
2_20220827 07,1058.9580153610807
2_20220827 08,1089.099790723967
2_20220827 09,1154.2901163556444
2_20220827 10,1447.6802325117285
2_20220827 11,1596.8875921482272
2_20220827 12,1741.8908589462756
2_20220827 13,1742.6935947342422
2_20220827 14,1767.4613806095633
2_20220827 15,1744.6750445022865
2_20220827 16,1948.0858843405929
2_20220827 17,1808.3483950675027
2_20220827 18,1670.2821773203902
2_20220827 19,1595.8270243438146
2_20220827 20,1459.1227359216489
2_20220827 21,1284.7712257511225
2_20220827 22,1425.7865549576713
2_20220827 23,1162.5603026356328
2_20220828 00,1328.599886710972
2_20220828 01,1155.44324154839
2_20220828 02,1000.5001219510796
2_20220828 03,1030.7749820653587
2_20220828 04,1029.0797243476436
2_20220828 05,893.4276069569904
2_20220828 06,1006.6607071159739
2_20220828 07,995.6555023959435
2_20220828 08,1085.716483686806
2_20220828 09,1385.80506827748
2_20220828 10,1525.5254243399415
2_20220828 11,1644.830823633864
2_20220828 12,1718.4323064636628
2_20220828 13,1832.1237019521534
2_20220828 14,1886.2305483595571
2_20220828 15,1806.0708062503172
2_20220828 16,1765.4977243806084
2_20220828 17,1885.309454700074
2_20220828 18,1708.0637486041142
2_20220828 19,1547.2563037079035
2_20220828 20,1676.4558784167548
2_20220828 21,1313.4041681831466
2_20220828 22,1389.8477253491674
2_20220828 23,1531.7432667525306
2_20220829 00,1710.658635123947
2_20220829 01,1665.612430742234
2_20220829 02,1689.2316605370534
2_20220829 03,1602.958377829906
2_20220829 04,1572.5476592027226
